"Corps","Date","CompetitionDay","showID","Show","City","State"
"The Cavaliers","2020-07-12",25,51,"DCI Midwestern Championship","St. Louis","MO"
"The Cavaliers","2020-07-14",27,55,"DCI Broken Arrow","Broken Arrow","OK"
"The Cavaliers","2020-07-16",29,56,"DCI Austin","Austin","TX"
"The Cavaliers","2020-07-17",30,59,"DCI Houston","Houston","TX"
"The Cavaliers","2020-07-18",31,63,"DCI San Antonio","San Antonio","TX"
"The Cavaliers","2020-07-20",33,66,"DCI Mesquite","Mesquite","TX"
"The Cavaliers","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"The Cavaliers","2020-07-24",37,75,"The Masters of the Summer Music Games","Murfeesboro","TN"
"The Cavaliers","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"The Cavaliers","2020-07-26",39,79,"NightBEAT","Winston-Salem","NC"
"The Cavaliers","2020-07-27",40,82,"Soaring Sounds","Centerville","OH"
"The Cavaliers","2020-07-29",42,87,"Drum Corps: An American Tradition – Annapolis","Annapolis","MD"
"The Cavaliers","2020-07-31",44,91,"DCI Eastern Classic","Allentown","PA"
"The Cavaliers","2020-08-02",46,96,"Drums Along the Waterfront","Buffalo","NY"
"The Cavaliers","2020-08-03",47,98,"Tour of Champions – Akron","Akron","OH"
"Troopers","2020-06-20",3,3,"Whitewater Classic","Whitewater","WI"
"Troopers","2020-06-22",5,8,"Drums on the Ohio","Evansville","IN"
"Troopers","2020-06-23",6,9,"Summer Music Games in Cincinnati","Hamilton","OH"
"Troopers","2020-06-27",10,14,"Show of Shows","Rockford","IL"
"Troopers","2020-06-28",11,17,"River City Rhapsody – Rochester","Rochester","MN"
"Troopers","2020-06-30",13,21,"The Northwoods Encore","Stevens Point","WI"
"Troopers","2020-07-02",15,25,"Drums on Parade","Madison ","WI"
"Troopers","2020-07-03",16,26,"Cavalcade of Brass","Lisle","IL"
"Troopers","2020-07-05",18,31,"DCI La Crosse","La Crosse","WI"
"Troopers","2020-07-11",24,45,"Drums Along the Rockies – Casper Edition","Casper","WY"
"Troopers","2020-07-12",25,50,"Drums Along the Rockies ","Denver","CO"
"Troopers","2020-07-16",29,56,"DCI Austin","Austin","TX"
"Troopers","2020-07-18",31,62,"DCI Corpus Christi","Corpus Christi","TX"
"Troopers","2020-07-20",33,65,"Drums Across Cajun Field","Lafayette","LA"
"Troopers","2020-07-22",35,70,"DCI Southern Mississippi","Hattiesburg","MS"
"Troopers","2020-07-23",36,72,"DCI Opelika","Opelika","AL"
"Troopers","2020-07-24",37,74,"DCI Birmingham","Trussville","AL"
"Troopers","2020-07-25",38,78,"DCI Southeastern Championship","Atlanta","GA"
"Troopers","2020-07-28",41,83,"Drum Corps: An American Tradition","TBA","PA, NC"
"Troopers","2020-07-30",43,88,"DCI Syracuse","Syracuse","NY"
"Troopers","2020-08-01",45,92,"DCI Eastern Classic","Allentown","PA"
"Troopers","2020-08-02",46,95,"DCI Pittsburgh","Pittsburgh","PA"
"Vanguard Cadets","2020-06-19",2,2,"MidCal Champions Showcase","Clovis","CA"
"Vanguard Cadets","2020-06-20",3,4,"DCI West","Stanford","CA"
"Vanguard Cadets","2020-06-21",4,7,"DCI Capital Classic","Sacramento","CA"
"Vanguard Cadets","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Vanguard Cadets","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Vanguard Cadets","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Vanguard Cadets","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Vessel","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Vessel","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Vessel","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Vessel","2020-06-29",12,20,"Drums Across the Desert","Mesta","AZ"
"Vessel","2020-07-10",23,40,"Riverside Open","Riverside","CA"
"Vessel","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Vessel","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Vessel","2020-07-17",30,58,"Resound","Bakersfield","CA"
"Vessel","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Vessel","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Watchmen","2020-06-26",9,12,"Corps at the Crest – San Diego","Vista","CA"
"Watchmen","2020-06-27",10,15,"Drum Corps at the Rose Bowl","Pasadena","CA"
"Watchmen","2020-06-28",11,19,"Western Corps Connection","San Bernadino","CA"
"Watchmen","2020-07-10",23,40,"Riverside Open","Riverside","CA"
"Watchmen","2020-07-11",24,44,"Gold Showcase","Vista","CA"
"Watchmen","2020-07-12",25,49,"So Cal Classic","Bellflower","CA"
"Watchmen","2020-07-17",30,58,"Resound","Bakersfield","CA"
"Watchmen","2020-07-18",31,60,"Sounds of the Silicon Valley","TBD","CA"
"Watchmen","2020-07-19",32,64,"Diablo Valley Classic Pacific Open Class Championship","Pittsburg ","CA"
"Watchmen","2020-07-21",34,67,"Drums Along the Wasatch","Salt Lake City","UT"
"Watchmen","2020-07-23",36,71,"Mile High Showcase","Denver","CO"
